Current Family,Current Scienticfic Name,Dowhan Family,Name in Dowhan 1979 ,Common Name(s),Origin,Conservation Status,Connecticut (sources used by Haines),Notes,Other synonyms,,,,,,
Acoraceae,Acorus americanus (Raf.) Raf.,new,new,several-veined sweetflag; sweetflag,N,,Thompson (2000),,,,,,,,
Acoraceae,Acorus calamus L.,Araceae,same,single-veined sweetflag; sweetflag,E,,Thompson (2000),,,,,,,,
Actinidiaceae,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,new,new,hardy kiwi,E,,,"collected by Bryan Connelly in fruit at Lime Rock, CT, and not in fruit Franklin, CT",,,,,,,
Adoxaceae,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,Caprifoliaceae,Sambucus canadensis L.,black elderberry,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Sambucus nigra L. ssp. nigra,Caprifoliaceae,Sambucus canadensis L.,black elderberry,E,,Dowhan (1979),,,,,,,,
Adoxaceae,Sambucus racemosa L.,Caprifoliaceae,Sambucus pubens Michx.,red elderberry,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum acerifolium L.,Caprifoliaceae,same,maple-leaved viburnum,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum dentatum L. var. lucidum Ait.,Caprifoliaceae,Viburnum recognitum Fern.,smooth arrowwood,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum dilatatum Thunb.,new,new,linden arrowwood,E,,,,,,,,,,
Adoxaceae,Viburnum lantana L.,Caprifoliaceae,same,wayfaring tree,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum lantanoides Michx.,Caprifoliaceae,Viburnum alnifolium Marsh.,hobblebush,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum lentago L.,Caprifoliaceae,same,nannyberry,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum nudum L. var. cassinoides (L.) Torr. & Gray,Caprifoliaceae,Viburnum cassinoides L.,withe-rod,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum nudum L. var. nudum,Caprifoliaceae,Viburnum nudum L.,withe-rod,N,SCH,,,,,,,,,
Adoxaceae,Viburnum opulus L. ssp. opulus,Caprifoliaceae,Viburnum opulus L.,highbush-cranberry,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum opulus L. ssp. trilobum (Marsh.) Clausen,Caprifoliaceae,Viburnum trilobum Marsh.,highbush-cranberry,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum prunifolium L.,Caprifoliaceae,same,smooth blackhaw,N,SC,Dowhan (1979),,,,,,,,
Adoxaceae,Viburnum rafinesquianum J.A. Schultes var. rafinesquianum,Caprifoliaceae,Viburnum rafinesquianum Schultes,downy arrowwood,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Adoxaceae,Viburnum sieboldii Miq.,Caprifoliaceae,same,Siebold’s arrowwood,E,,Dowhand (1979),,,,,,,,
Agavaceae,Yucca filamentosa L.,Liliaceae,same,Adam's-needle,E,,,,,,,,,,
Aizoaceae,Tetragonia tetragonioides (Pallas) Kuntze,new,new,New Zealand-spinach,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Alismataceae,Alisma subcordatum Raf.,Alismataceae,same,southern water-plantain,N,,Haynes and Hellquist (2000),,"Alisma plantago-aquatica L. var. parviflorum; Alisma plantago-aquatica L. ssp.
subcordatum (Raf.) Hultén",,,,,,
Alismataceae,Alisma triviale Pursh,Alismataceae,same,northern water-plantain,N,,Haynes and Hellquist (2000),,"Alisma brevipes Greene; Alisma plantagoaquatica
L. var. americanum J.A. Schultes",,,,,,
Alismataceae,Helanthium tenellum (Mart.) Britt.,new,new,dwarf burhead,N,En,Haynes and Hellquist (2000),,SYNONYMS: Alisma tenellum Mart.; Echinodorus parvulus Engelm.; Echinodorus tenellus (Mart.) Buch; Echinodorus tenellus (Mart.) Buch. var. parvulus (Engelm.) Fassett; Helanthium parvulum (Engelm.) Small,,,,,,
Alismataceae,Sagittaria cuneata Sheldon,Alismataceae,same,northern arrowhead; wapato,N,En,Haynes and Hellquist (2000),,Sagittaria arifolia Nutt. ex J.G. Sm.,,,,,,
Alismataceae,Sagittaria engelmanniana J.G. Sm.,Alismataceae,same,Engelmann's arrowhead,N,,Haynes and Hellquist (2000),,,,,,,,
Alismataceae,Sagittaria filiformis J.G. Sm.,Alismataceae,Sagittaria subulata (L.) Buchenau var. gracillima (S. Wats.) J.G. Sm.,narrow-leaved arrowhead,N,,Haynes and Hellquist (2000),,Sagittaria arifolia Nutt. ex J.G. Sm.; Sagittaria subulata var. gracillima (S. Wats.) J.G. Sm,,,,,,
Alismataceae,Sagittaria graminea Michx. var. graminea,Alismataceae,Sagittaria eatonii J.G. Sm.,grass-leaved arrowhead; narrow-leaved arrowhead,N,,Haynes and Hellquist (2000),,Sagittaria eatonii J.G. Sm,,,,,,
Alismataceae,Sagittaria latifolia Willd.,Alismataceae,Sagittaria latifolia Willd. var. latifolia; Sagittaria latifolia Willd. var. obtusa (Muhl.) Wieg.; Sagittaria longirostra (Micheli) J.G. Sm.,common arrowhead,N,,Haynes and Hellquist (2000),,,,,,,,
Alismataceae,Sagittaria montevidensis Cham. & Schlecht. ssp. spongiosa (Engelm.) Bogin,same,same,spongy-leaved arrowhead,N,,Haynes and Hellquist (2000),,,,,,,,
Alismataceae,Sagittaria rigida Pursh,same,same,sessile-fruited arrowhead; stiff wapato,N,,Haynes and Hellquist (2000),,,,,,,,
Alismataceae,Sagittaria subulata (L.) Buch.,same,Sagittaria subulata (L.) Buchenau var. subulata,awl-leaved arrowhead,N,SC,Haynes and Hellquist (2000),,,,,,,,
Alismataceae,Sagittaria teres S. Wats.,new,new,quill-leaved arrowhead,N,,Barre Hellquist (personal communication),,,,,,,,
Alliaceae,Allium canadense L. var. canadense,Liliaceae,Allium canadense L.,meadow garlic,N,,,,,,,,,,
Alliaceae,Allium cepa L.,new,new,garden onion,E,,,,,,,,,,
Alliaceae,Allium schoenoprasum L.,new,new,wild chives,N,,,,,,,,,,
Alliaceae,Allium tricoccum Ait. var. tricoccum,Liliaceae,Allium tricoccum Ait.,wild leek; ramp,N,,,,,,,,,,
Alliaceae,Allium vineale L.,Liliaceae,same,crow garlic,E,,,,,,,,,,
Altingiaceae,Liquidambar styraciflua L.,Hamamelidaceae,same,sweet-gum,N,SC,,,,,,,,,
Amaranthaceae,Amaranthus albus L.,Amaranthaceae,same,tumbleweed amaranth,E,,Kartesz (1999); Seymour (1982),Dowhan says it is native but haines says exotic,,,,,,,
Amaranthaceae,Amaranthus blitoides L.,Amaranthaceae,Amaranthus graecizans L.,prostrate amaranth,E,,Kartesz (1999); Seymour (1982),Haines says that the synonym for this species is Amaranthus graecizans with authorities other than L. but Dowhan lists the authority as L. so I am not sure if there is an issue here.,,,,,,,
Amaranthaceae,Amaranthus cannabinus (L.) Sauer,Amaranthaceae,same,salt marsh water-hemp,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Amaranthus caudatus L.,Amaranthaceae,same,purple amaranth; love-lies-bleeding,E,,Kartesz (1999); Seymour (1982),,,,,,,,
